PRMS_segid,comid_down,comid_seg,comid_cat
2766_1,24903694,24903694,9481294;9481296;9481300;9481302;9482366;9482566;9482568;9482570;9482572;9484304;9484306;9484308;9484316;9484336;9484356;9484360;9484364;9484436;9484464;9484468;9484476;9484490;9484496;9484502;9484504;9484516;9484534;9484540;9484544;9484550;9484552;9484556;9484558;9484566;9484576;9484586;9484594;9484604;9484606;9484618;9484620;9484622;9484624;9484630;9484632;9484636;9484638;9484642;9484648;9484650;9484654;9484656;9484658;9484660;9484666;9484668;9484680;9484682;9484686;9484692;9484694;9484696;9484698;9485418;9485428;9485430;9485442;9485446;9485458;9485460;9485462;9485468;9485470;9485482;9485766;9485768;9485770;9485778;9485780;9485782;9485788;9485836;9485844;9485848;9485850;9485860;9485862;9485864;9485866;9485868;9485870;9485872;9485886;9485888;9485896;9485898;9485906;9485908;9485918;9485920;9485924;9485926;9485930;9485932;9485934;9485936;9485938;9485946;9485948;9485970;9485988;9485990;9485992;9485994;9485996;9486000;9486004;9486006;9486010;9486012;9486024;9486028;9486030;9486034;9486036;9486038;9486046;9486050;9486060;9486062;9486064;9486074;9486076;9486086;9486554;9486556;9486560;9486662;9486678;9486688;9486692;9486694;9489708;9489858;9489872;9489888;9489890;24903694;24903716;24946876;24946880
2767_1,24903740,24903698;24903700;24903702;24903704;24903740,8074112;8074116;8074120;8074122;8074124;8074126;8074128;8074134;8074136;8074138;8074140;8075360;8075362;8075364;8075366;9484608;9484640;9484646;9484652;9484664;9484670;9484672;9484684;9484700;9484702;9484710;9484716;9484720;9485476;9485484;9485486;9485488;9485490;9485902;9485950;9485952;9485954;9486056;9486102;9486134;9486666;9486668;9486670;24903698;24903700;24903702;24903704;24903706;24903708;24903718;24903720;24903740;25039920;25039982;25039984;25039986;25039988;25039990;932040117
2768_1,24903746,24903742;24903746,9484708;9484724;9484726;9484746;9484750;9484758;9486126;9486698;24903714;24903722;24903724;24903736;24903742;24903744;24903746
2769_1,932040186,932040186;932040187,8074226;8075830;932040118;932040186;932040187
277_1,4188123,4187193;4188083;4188099;4188105;4188123,4187097;4187147;4187177;4187193;4188081;4188083;4188097;4188099;4188101;4188103;4188105;4188123
2770_1,24903778,9486150;9486170;9486186;9486190;9486196;24903770;24903772;24903778,9484676;9484690;9484704;9484706;9484712;9484714;9484722;9484732;9484738;9484740;9484748;9484752;9484754;9484760;9484762;9484764;9484772;9484792;9484806;9484838;9484848;9485504;9485514;9485518;9485520;9485524;9485528;9485536;9485984;9485986;9486002;9486114;9486146;9486148;9486150;9486168;9486170;9486186;9486190;9486192;9486194;9486196;9486198;9486234;9486236;9486246;9486558;24903770;24903772;24903778
2771_1,24903800,24903750;24903782;24903784;24903800;24946868,9484826;9484850;9484854;9484856;9484858;9484878;9484882;9484886;9484888;9484890;9484894;9484896;9484900;9484910;9485544;9485548;9485570;9485580;9485588;9485594;9486244;24903750;24903782;24903784;24903786;24903788;24903800;24946860;24946864;24946868;25039922;932040120
2772_1,25015872,4496300;25015872;166754167,4494926;4494930;4494932;4494956;4494966;4494994;4495026;4495066;4495068;4495078;4495080;4495184;4495198;4495200;4495218;4495222;4495228;4495230;4495722;4495724;4495730;4495734;4495738;4495740;4495742;4495744;4495746;4495750;4495754;4495756;4495760;4495770;4495782;4495784;4495796;4496252;4496256;4496266;4496268;4496272;4496284;4496300;4496304;4496318;4496332;4496344;4496346;4496348;4496378;4496386;4496536;4496542;4496554;4496584;4496586;4496588;4496604;4499278;4499328;24945695;24945697;25015872;166754167
278_1,4188159,4188049;4188053;4188063;4188117;4188135;4188141;4188147;4188149;4188159;4188357;4188363;932040262;932040264,4186971;4186975;4186977;4186979;4186981;4186983;4186987;4186997;4186999;4187001;4187007;4187009;4187017;4187019;4187021;4187023;4187029;4187035;4187039;4187053;4187055;4187059;4187065;4187071;4187073;4187075;4187077;4187085;4187087;4187091;4187093;4187111;4187119;4187123;4187125;4187141;4187159;4187163;4187185;4187191;4187209;4187215;4187217;4187227;4187229;4187231;4187233;4187249;4187251;4187253;4187255;4187257;4187259;4187261;4187277;4187281;4187283;4187285;4187291;4187293;4187303;4187305;4187313;4187315;4187317;4187319;4187323;4187337;4187339;4187357;4187373;4187375;4187377;4187415;4187915;4187917;4187931;4187943;4188043;4188049;4188051;4188053;4188063;4188069;4188093;4188107;4188109;4188115;4188117;4188125;4188131;4188133;4188135;4188137;4188139;4188141;4188145;4188147;4188149;4188151;4188153;4188155;4188157;4188159;4188177;4188197;4188199;4188317;4188323;4188325;4188327;4188329;4188331;4188333;4188345;4188347;4188349;4188353;4188357;4188363;4188369;4188371;4191093;4191095;932040096;932040097;932040152;932040153;932040262;932040264;932040269;932040272
279_1,4188169,4187353;4187389;4188169,4187173;4187205;4187243;4187245;4187269;4187271;4187273;4187307;4187309;4187311;4187343;4187353;4187359;4187389;4188169
2796_1,25039918,8075374;25039918;25039952;25039954,8074146;8074148;8075102;8075370;8075372;8075374;8075946;25039918;25039952;25039954
2797_1,25039924,25039924,8074150;8074152;8074154;8074158;8074160;8074162;8074164;8074166;8074168;8074170;8074172;8074174;8074178;8074194;8074198;8074200;8074204;8074212;8074214;8074216;8074218;8074220;8074224;8074228;8074240;8074244;8074246;8074248;8074250;8074254;8074256;8074260;8074262;8074264;8074270;8074276;8074278;8074280;8074282;8074284;8074288;8074290;8074292;8074294;8074296;8074306;8074308;8074312;8074314;8074316;8074318;8074320;8074322;8074324;8074326;8074330;8074332;8074334;8074336;8074338;8074340;8074342;8074344;8074350;8074352;8074354;8074356;8074358;8074360;8074362;8074364;8074368;8074370;8074372;8074374;8074376;8074378;8074380;8074382;8074384;8074386;8074388;8074390;8074392;8074394;8074396;8074398;8074400;8074406;8074408;8074412;8074414;8074416;8074426;8074430;8074434;8074438;8074440;8074442;8074444;8074446;8074470;8075108;8075110;8075112;8075118;8075120;8075124;8075132;8075138;8075146;8075148;8075150;8075174;8075176;8075178;8075378;8075380;8075382;8075384;8075386;8075388;8075390;8075392;8075394;8075396;8075398;8075400;8075402;8075404;8075410;8075412;8075414;8075416;8075418;8075420;8075422;8075424;8075428;8075434;8075436;8075440;8075442;8075446;8075448;8075452;8075456;8075460;8075466;8075468;8075470;8075472;8075474;8075476;8075478;8075484;8075486;8075488;8075500;8075502;8075504;8075508;8075510;8075512;8075522;8075526;8075528;8075536;8075828;8075830;8075832;8075834;8075836;8075920;8075924;8075932;8075934;8075948;8075952;8075954;8075956;8079954;8079956;8079958;8079974;8079978;8079984;8079986;8079990;8079992;8079998;8080000;8080008;8080010;8080070;8080162;8080166;8080172;8080174;8080176;8080224;8080226;8080228;8080232;8080234;8080236;8080238;8080240;8080248;8080250;25039924;25039972;25039974
28_1,1752137,1752137,1749225;1749227;1749279;1749295;1749297;1749315;1749379;1749381;1749385;1749417;1752015;1752133;1752137
280_1,4188171,4188167;4188171,4187379;4187381;4187385;4187387;4187401;4187407;4187413;4187419;4187421;4187423;4187425;4187427;4187429;4187431;4187433;4187435;4187443;4187445;4187447;4187451;4187455;4187467;4187473;4187477;4187481;4187483;4187517;4187519;4187525;4187953;4187955;4188161;4188165;4188167;4188171;4188367
281_1,4188205,4188205,4188205
282_1,4188175,4188175,4188175
283_1,4188187,4188181;4188183;4188187;4188193;4188195;4188359;4191115;4191117,4187365;4187409;4187417;4187437;4187449;4187457;4187465;4187469;4187471;4187475;4187485;4187487;4187489;4187491;4187493;4187497;4187509;4187511;4187545;4187553;4187565;4187571;4187573;4187577;4187579;4187581;4187597;4187599;4187607;4187609;4187615;4187617;4187959;4187961;4187965;4187967;4187969;4187971;4187973;4188179;4188181;4188183;4188185;4188187;4188189;4188191;4188193;4188195;4188335;4188355;4188359;4191115;4191117
284_1,4188251,4188251;4188263;4188365;4188373,4187679;4187711;4187721;4187733;4187735;4187743;4187745;4187759;4187771;4187779;4187783;4187787;4187791;4187795;4187797;4187805;4187815;4187837;4187853;4187855;4187857;4187859;4187865;4187867;4187869;4187871;4187873;4187875;4187877;4187879;4187881;4187887;4187897;4187899;4187901;4188251;4188253;4188263;4188265;4188267;4188287;4188365;4188373;4189329;4189335;4189349
285_1,4188281,4188281,4188281
286_1,4188273,4188273,4188273
287_1,4188275,4188275,4188275
288_1,4188283,4188213;4188215;4188219;4188225;4188227;4188231;4188233;4188243;4188247;4188255;4188261;4188283,4187411;4187453;4187459;4187461;4187463;4187479;4187499;4187501;4187503;4187505;4187507;4187513;4187521;4187527;4187529;4187531;4187533;4187535;4187537;4187539;4187541;4187543;4187547;4187549;4187551;4187555;4187557;4187561;4187563;4187567;4187575;4187583;4187587;4187591;4187595;4187601;4187603;4187613;4187619;4187621;4187633;4187635;4187647;4187653;4187661;4187667;4187673;4187677;4187681;4187683;4187687;4187689;4187691;4187693;4187963;4187977;4187979;4187981;4187983;4187985;4187987;4187997;4187999;4188001;4188163;4188173;4188207;4188209;4188211;4188213;4188215;4188217;4188219;4188221;4188223;4188225;4188227;4188229;4188231;4188233;4188235;4188237;4188239;4188241;4188243;4188245;4188247;4188255;4188257;4188259;4188261;4188269;4188277;4188283;4188337
289_1,4188285,4187741;4187747;4188285,4187741;4187747;4187777;4188285
29_1,1752159,1752143;1752145;1752155;1752157;1752159,1749201;1749219;1749251;1749263;1749265;1749275;1749291;1749293;1749301;1749303;1749305;1749307;1749309;1749311;1749313;1749383;1749391;1749397;1752017;1752019;1752021;1752025;1752031;1752037;1752039;1752041;1752053;1752061;1752065;1752071;1752095;1752135;1752139;1752141;1752143;1752145;1752147;1752149;1752151;1752153;1752155;1752157;1752159;24943967;24943969
290_1,4188343,4185947;4185953;4186003;4186005;4186007;4186015;4186445;4186963;4188343;4191099,4185895;4185947;4185951;4185953;4185955;4185965;4185967;4185971;4185973;4185975;4185977;4185979;4185983;4185985;4185991;4185993;4185999;4186003;4186005;4186007;4186015;4186017;4186019;4186021;4186023;4186025;4186027;4186211;4186445;4186453;4186953;4186957;4186963;4188341;4188343;4191097;4191099
3_1,1748561,1748541;1748561;1748709,1748537;1748541;1748561;1748707;1748709;1748711
3_2,1748583,1748583,1748583
30_1,2583285,2583285;2583321;2583327;2583329;2583337;2583623;2583625,2583285;2583313;2583315;2583319;2583321;2583323;2583327;2583329;2583331;2583337;2583343;2583345;2583347;2583359;2583377;2583623;2583625;24944722;24944724;24944726;24944728
31_1,2583309,2583309;2583317;2583325;2583357;2583675;2583677;2583741;932040126;932040127,2583289;2583307;2583309;2583311;2583317;2583325;2583333;2583335;2583351;2583357;2583673;2583675;2583677;2583741;24944760;932040070;932040126;932040127
32_1,2583379,2583219;2583231;2583251;2583255;2583263;2583283;2583287;2583355;2583379;2583619;2583657;2583679;2583695;2593593,2583185;2583187;2583189;2583191;2583193;2583195;2583197;2583199;2583201;2583203;2583211;2583213;2583215;2583217;2583219;2583227;2583231;2583241;2583243;2583247;2583251;2583253;2583255;2583257;2583263;2583265;2583267;2583283;2583287;2583297;2583355;2583361;2583367;2583369;2583379;2583389;2583429;2583613;2583617;2583619;2583635;2583637;2583639;2583643;2583645;2583647;2583649;2583651;2583657;2583679;2583681;2583695;2583729;2583731;2583737;2583745;2593593
328_1,4480911,4480793;4480795;4480801;4480803;4480811;4480815;4480827;4480839;4480845;4480847;4480855;4480885;4480889;4480911;4481577;4481579;4482849,4480793;4480795;4480797;4480799;4480801;4480803;4480809;4480811;4480815;4480823;4480825;4480827;4480831;4480833;4480839;4480841;4480843;4480845;4480847;4480849;4480853;4480855;4480857;4480875;4480877;4480879;4480885;4480887;4480889;4480911;4480921;4480923;4480931;4481569;4481571;4481573;4481575;4481577;4481579;4481811;4482849;4482877;4482921;4482923;4482931;4482933;4482937;4482947;4482949;4482957;4482959;4482961;4482963;4483041;4483043;4483045;4483047;4483057;4485567
329_1,4481059,4481059;4481161;4481187;4481245;4481249;4481277;4481291;4481307;4481311;4481617;4481657;4481849;4481867,4481009;4481035;4481041;4481043;4481045;4481057;4481059;4481063;4481079;4481081;4481129;4481131;4481139;4481161;4481187;4481189;4481221;4481243;4481245;4481249;4481261;4481263;4481271;4481275;4481277;4481279;4481291;4481297;4481299;4481301;4481303;4481307;4481311;4481313;4481315;4481317;4481321;4481325;4481337;4481339;4481341;4481343;4481345;4481347;4481349;4481353;4481355;4481357;4481361;4481367;4481387;4481389;4481605;4481613;4481615;4481617;4481619;4481621;4481623;4481633;4481635;4481657;4481659;4481661;4481663;4481667;4481671;4481675;4481677;4481679;4481681;4481689;4481737;4481743;4481749;4481755;4481849;4481851;4481853;4481857;4481861;4481867;4481871;4481877;4481879;4481881;4481887;4481889;4481891;4481893;4481895;4481935;4481953;4481959;4481961;9515286
33_1,2586349,2586197;2586237;2586279;2586319;2586325;2586349;2586787;2586797;2586801;2586805;2586915;2586919;2586923,2583475;2583485;2583535;2583537;2583725;2586169;2586181;2586183;2586191;2586193;2586197;2586199;2586203;2586221;2586233;2586235;2586237;2586247;2586249;2586279;2586287;2586299;2586303;2586305;2586311;2586317;2586319;2586325;2586339;2586349;2586773;2586775;2586779;2586787;2586789;2586791;2586797;2586801;2586803;2586805;2586913;2586915;2586917;2586919;2586921;2586923;2586941;2586991;2593575;932040197;932040198;932040199;932040210;932040221
330_1,4481599,4480961;4480963;4480975;4481019;4481021;4481599;4481757,4480961;4480963;4480973;4480975;4481017;4481019;4481021;4481037;4481055;4481065;4481071;4481111;4481121;4481599;4481757
331_1,4481607,4481607,4481023;4481025;4481039;4481607;4481927;4481929
332_1,4481801,4481733;4481739;4481763;4481785;4481801;4481949,2590295;4480891;4481597;4481733;4481739;4481763;4481767;4481783;4481785;4481801;4481943;4481949;4485569;4485571;24945505
333_1,4481919,4481805;4481809;4481813;4481827;4481837;4481865;4481873;4481883;4481897;4481907;4481913;4481919;4485583,4480895;4480897;4480905;4480913;4480929;4480951;4480953;4480987;4480997;4481011;4481029;4481031;4481033;4481053;4481061;4481069;4481073;4481075;4481083;4481087;4481089;4481099;4481105;4481113;4481115;4481117;4481119;4481125;4481127;4481133;4481135;4481137;4481141;4481147;4481149;4481151;4481153;4481155;4481157;4481159;4481165;4481169;4481171;4481173;4481175;4481179;4481181;4481183;4481185;4481191;4481195;4481197;4481199;4481201;4481203;4481205;4481207;4481211;4481213;4481215;4481217;4481219;4481223;4481227;4481229;4481231;4481233;4481235;4481237;4481239;4481247;4481251;4481255;4481259;4481265;4481269;4481281;4481283;4481285;4481287;4481289;4481319;4481327;4481329;4481331;4481333;4481363;4481369;4481371;4481373;4481375;4481379;4481381;4481385;4481391;4481395;4481397;4481399;4481401;4481627;4481629;4481631;4481637;4481639;4481641;4481643;4481655;4481665;4481669;4481797;4481803;4481805;4481807;4481809;4481813;4481815;4481817;4481819;4481821;4481823;4481825;4481827;4481829;4481831;4481833;4481835;4481837;4481839;4481841;4481843;4481845;4481847;4481859;4481863;4481865;4481869;4481873;4481875;4481883;4481885;4481897;4481899;4481901;4481907;4481909;4481911;4481913;4481915;4481919;4481931;4481933;4481937;4481939;4481941;4485579;4485583
334_1,4482695,4482661;4482665;4482667;4482683;4482695;4483029;4483059,4482657;4482659;4482661;4482663;4482665;4482667;4482669;4482683;4482685;4482695;4483029;4483059
335_1,4482733,4482709;4482733,4482655;4482671;4482681;4482697;4482707;4482709;4482733;4483031
336_1,4482735,4482705;4482721;4482735;4482769;4482807;4482813;4482819;4482991,4482689;4482691;4482705;4482719;4482721;4482725;4482727;4482735;4482767;4482769;4482807;4482811;4482813;4482815;4482819;4482829;4482837;4482847;4482991;4483049
337_1,4482885,4482873;4482879;4482885;4482887;4482889;4482891;4483035;4483039;24945519,4482873;4482875;4482879;4482885;4482887;4482889;4482891;4482895;4482897;4482903;4482911;4482913;4482917;4482925;4482927;4482929;4482935;4482939;4482941;4482943;4482945;4482951;4482953;4482955;4483001;4483035;4483037;4483039;4483053;4483055;24945517;24945519
338_1,4482999,4482715;4482729;4482731;4482739;4482743;4482745;4482753;4482757;4482763;4482765;4482775;4482783;4482787;4482793;4482795;4482797;4482799;4482817;4482993;4482995;4482997;4482999,4482699;4482701;4482703;4482713;4482715;4482729;4482731;4482737;4482739;4482741;4482743;4482745;4482747;4482751;4482753;4482755;4482757;4482763;4482765;4482775;4482777;4482779;4482781;4482783;4482785;4482787;4482789;4482791;4482793;4482795;4482797;4482799;4482801;4482809;4482817;4482821;4482827;4482831;4482833;4482835;4482839;4482845;4482993;4482995;4482997;4482999;4483003
339_1,4483005,4482851;4482853;4482857;4482863;4482865;4482867;4482883;4483005;4483015,4482851;4482853;4482855;4482857;4482859;4482861;4482863;4482865;4482867;4482869;4482871;4482881;4482883;4482893;4482899;4482901;4482905;4482907;4482909;4482915;4482919;4483005;4483015;4483051
34_1,2586769,2583445;2583457;2583503;2583527;2583703;2583707;2583709;2583751;2586119;2586769,2583391;2583403;2583405;2583431;2583433;2583435;2583439;2583445;2583451;2583457;2583459;2583461;2583483;2583489;2583491;2583495;2583503;2583507;2583517;2583521;2583523;2583527;2583529;2583531;2583533;2583697;2583703;2583705;2583707;2583709;2583711;2583715;2583717;2583743;2583751;2583753;2586087;2586089;2586095;2586105;2586107;2586109;2586111;2586119;2586121;2586123;2586125;2586139;2586147;2586153;2586765;2586767;2586769;2586865;2586869;2586871;2586873;2586875;2586881;2586883;2586885;2586889;2586891;2586983;2586985;2593573;24944734;24944736;24944738;24944740;24944742;24944744;166178306;166178307;166178308
340_1,4483009,4482843;4483009;4483011;4483013,4482673;4482675;4482677;4482679;4482687;4482693;4482711;4482717;4482723;4482749;4482759;4482761;4482771;4482773;4482803;4482805;4482841;4482843;4483007;4483009;4483011;4483013;4483033
341_1,4485573,4480867;4480903;4480909;4481585;4481589;4481731;4481751;4481759;4481773;4481775;4481777;4481789;4481795;4481799;4485573,4480817;4480819;4480829;4480837;4480859;4480861;4480865;4480867;4480869;4480871;4480873;4480883;4480893;4480899;4480901;4480903;4480907;4480909;4480915;4480917;4480919;4480925;4480927;4480933;4480935;4480937;4480939;4480941;4480945;4480947;4480955;4480957;4480959;4480965;4480967;4480969;4480971;4480979;4480991;4481001;4481005;4481583;4481585;4481587;4481589;4481591;4481593;4481601;4481705;4481707;4481709;4481711;4481713;4481715;4481717;4481719;4481721;4481723;4481725;4481727;4481729;4481731;4481735;4481741;4481745;4481747;4481751;4481753;4481759;4481761;4481765;4481769;4481771;4481773;4481775;4481777;4481779;4481781;4481787;4481789;4481791;4481793;4481795;4481799;4481921;4481923;4481925;4481951;4485573;24945505
342_1,4485575,4480999;4481003;4481007;4481013;4481049;4481097;4481855;4481903;4481917;4485557;4485575,4480943;4480985;4480999;4481003;4481007;4481013;4481015;4481027;4481047;4481049;4481093;4481095;4481097;4481101;4481103;4481107;4481109;4481209;4481855;4481903;4481905;4481917;4481945;4481947;4485557;4485575
343_1,4488242,4487958;4488228;4488242,4487958;4487960;4487980;4487982;4487984;4487994;4487996;4488228;4488230;4488232;4488242;4488988;4488990;4488994;4489014;4489030;4489238
344_1,4488280,4488280,4488280
345_1,4488278,4488278,4488278
346_1,4488276,4488276,4488276
347_1,4488284,4488284;4488294;4488298;4488300;4488302;4492220;4499344,4488022;4488026;4488034;4488060;4488246;4488282;4488284;4488294;4488296;4488298;4488300;4488302;4488304;4488306;4490470;4490502;4491918;4492220;4492514;4492516;4499344
348_1,4489072,4489044;4489046;4489056;4489072;4489208,4489042;4489044;4489046;4489056;4489064;4489072;4489208
349_1,4489170,4488964;4488968;4488976;4488998;4489000;4489008;4489160;4489162;4489170;4489220,4488958;4488960;4488962;4488964;4488966;4488968;4488970;4488972;4488974;4488976;4488978;4488980;4488982;4488984;4488986;4488992;4488996;4488998;4489000;4489002;4489004;4489008;4489010;4489158;4489160;4489162;4489164;4489170;4489188;4489190;4489220;4489222;4489224;4489226
35_1,2586771,2583371;2583385;2583411;2583419;2583423;2583443;2583449;2583453;2583499;2583541;2583701;2583713;2586101;2586145;2586771,2583205;2583207;2583209;2583221;2583223;2583225;2583229;2583233;2583235;2583237;2583239;2583245;2583249;2583259;2583261;2583269;2583271;2583273;2583275;2583277;2583279;2583281;2583293;2583295;2583299;2583301;2583303;2583305;2583353;2583365;2583371;2583373;2583385;2583401;2583411;2583413;2583415;2583417;2583419;2583423;2583425;2583427;2583443;2583449;2583453;2583455;2583465;2583471;2583499;2583539;2583541;2583615;2583621;2583627;2583641;2583653;2583655;2583659;2583661;2583663;2583665;2583667;2583669;2583671;2583683;2583685;2583687;2583689;2583691;2583693;2583699;2583701;2583713;2583733;2583735;2583739;2583749;2583755;2586101;2586103;2586145;2586771;2586989;24944708
350_1,4489180,4489024;4489028;4489180,4489024;4489026;4489028;4489032;4489180;4489228
351_1,4489192,4488286;4488292;4489192,4488028;4488030;4488062;4488286;4488288;4488290;4488292;4488308;4489192;4490534;4499346
352_1,4489194,4489018;4489040;4489178;4489194,4489006;4489012;4489016;4489018;4489022;4489040;4489176;4489178;4489194
353_1,4490494,4490494;4490512;4490536;4491878;4491888,4488036;4488046;4488048;4488050;4488052;4490444;4490446;4490448;4490464;4490490;4490492;4490494;4490510;4490512;4490516;4490520;4490522;4490536;4490552;4491878;4491888;4491890;4492470;4492512
354_1,4490670,4490526;4490530;4490604;4490614;4490670;4491880;4491882;4492136;4492148;4492152;4492156;4492162;4492176;4492184;4492188;4492198;4492204;4492212;24945769,4481345;4488044;4488250;4488254;4488262;4490452;4490454;4490456;4490458;4490460;4490462;4490466;4490468;4490474;4490476;4490478;4490482;4490484;4490486;4490498;4490508;4490514;4490518;4490524;4490526;4490528;4490530;4490532;4490542;4490544;4490548;4490550;4490556;4490560;4490604;4490606;4490614;4490650;4490670;4490746;4490832;4491868;4491872;4491876;4491880;4491882;4491886;4491892;4492134;4492136;4492140;4492142;4492144;4492146;4492148;4492150;4492152;4492154;4492156;4492158;4492160;4492162;4492164;4492166;4492168;4492170;4492172;4492174;4492176;4492178;4492180;4492182;4492184;4492186;4492188;4492198;4492200;4492204;4492206;4492468;4492510;4492530;4492540;4492542;4499204;4499246;24945741;24945765;24945767;24945769;932040098;932040311;932040312
355_1,4490878,4490878;4490948;4490986;4490988;4491070;4491200;4491976;4491984;4492014;4492224;4492226;4492504;4492508;24945773;166178328,4490756;4490774;4490790;4490854;4490878;4490888;4490938;4490948;4490986;4491008;4491070;4491200;4491254;4491286;4491318;4491412;4491916;4491924;4491928;4491930;4491932;4491964;4491976;4491980;4491982;4491984;4491986;4492002;4492014;4492020;4492040;4492190;4492192;4492194;4492196;4492202;4492208;4492210;4492214;4492224;4492226;4492504;4492508;24945743;24945773;24945775;166178328
356_1,4490920,4490920;4490954;4490962;4490964;4490974;4490998;4491022;4491028;4491034;4491202;4491226;4491264;4491296;4491326;4491336;4491370;4491396;4492066;4492068;4492074;4492256;4492258;4492294;4492300;4492304;4492306,4490920;4490954;4490962;4490964;4490974;4490976;4490994;4490996;4490998;4491000;4491002;4491004;4491016;4491018;4491022;4491028;4491034;4491042;4491054;4491090;4491100;4491202;4491210;4491218;4491226;4491234;4491264;4491266;4491272;4491280;4491282;4491292;4491296;4491298;4491312;4491314;4491326;4491330;4491332;4491334;4491336;4491340;4491342;4491346;4491348;4491362;4491370;4491374;4491378;4491392;4491396;4491404;4491442;4491472;4491484;4491498;4491500;4491988;4491990;4491996;4492028;4492030;4492034;4492046;4492050;4492052;4492056;4492066;4492068;4492070;4492074;4492076;4492078;4492080;4492082;4492084;4492086;4492088;4492090;4492092;4492094;4492246;4492256;4492258;4492260;4492262;4492264;4492266;4492268;4492270;4492288;4492290;4492292;4492294;4492296;4492298;4492300;4492302;4492304;4492306;4492472;4499358;24945727;24945731;24945733;24945749
357_1,4492032,4491286;4492032;4499256,4491286;4492032;4492044;4499256
358_1,4491898,4490660;4490662;4491898,4490660;4490662;4490676;4490696;4490758;4490770;4490786;4491898
359_1,4491946,4490828;4490836;4490838;4490880;4491946,4490752;4490754;4490826;4490828;4490836;4490838;4490880;4491116;4491156;4491212;4491252;4491256;4491290;4491372;4491944;4491946;4491972;4491974;4491978;4491994;4492024;4492042;4492228;4492230;4492232;4492240;4492242;4492248;4492250;4492252;4492254;24945737;932040100;932040101;932040158;932040159
36_1,2586785,2583511;2586157;2586167;2586173;2586177;2586785;2586867;2586879;2586887;2586893;2586925;932040133;932040134,2583487;2583511;2583513;2583515;2586113;2586157;2586167;2586173;2586177;2586785;2586867;2586877;2586879;2586887;2586893;2586925;2586981;24944768;24944770;932040071;932040072;932040073;932040074;932040128;932040129;932040130;932040133;932040134
360_1,4492036,4492036,4492036
361_1,4492122,4492122,4490794;4490842;4490866;4490892;4491956;4491968;4492122;932040310
362_1,4492216,4490488;4490500;4492216;932040307;932040308,4488054;4488056;4490472;4490488;4490496;4490500;4492216;932040266;932040268;932040307;932040308
363_1,4492218,4490592;4490730;4490780;4491874;4491884;4491914;4492218,4490592;4490598;4490608;4490652;4490730;4490736;4490780;4490858;4490914;4491064;4491160;4491222;4491242;4491248;4491262;4491268;4491270;4491274;4491278;4491284;4491288;4491294;4491300;4491302;4491304;4491306;4491310;4491324;4491350;4491352;4491354;4491356;4491358;4491364;4491366;4491368;4491376;4491380;4491382;4491384;4491386;4491388;4491394;4491400;4491402;4491406;4491408;4491410;4491414;4491416;4491424;4491426;4491430;4491434;4491436;4491438;4491448;4491454;4491462;4491466;4491474;4491476;4491478;4491482;4491486;4491488;4491490;4491496;4491502;4491504;4491506;4491508;4491512;4491516;4491518;4491520;4491522;4491524;4491526;4491528;4491530;4491532;4491542;4491546;4491548;4491550;4491552;4491558;4491560;4491562;4491564;4491566;4491570;4491572;4491574;4491578;4491586;4491594;4491596;4491610;4491874;4491884;4491900;4491910;4491914;4491960;4491966;4492038;4492048;4492054;4492058;4492060;4492062;4492064;4492072;4492096;4492098;4492100;4492106;4492218;4492238;4492308;4492310;4492312;4492314;4492316;4492318;4492320;4492322;4492324;4492326;4492328;4492330;4492332;4492334;4492336;4492338;4492340;4492342;4492344;4492346;4492348;4492350;4492352;4492354;4492356;4492358;4492360;4492362;4492364;4492366;4492368;4492370;4492372;4492374;4492376;4492378;4492380;4492382;4492384;4492390;4492392;4492396;4492398;4492400;4492402;4492404;4492406;4492408;4492410;4492412;4492414;4492416;4492418;4492420;4492422;4492424;4492426;4492428;4492430;4492432;4492434;4492436;4492452;4492476;4492478;4492480;4492482;4492484;4492486;4492488;4492490;4492496;4492520;4492522;4492524;4492526;4492532;4499350;4499352;4499360;24945709;24945713;24945715;24945719;24945721;24945723;932040104;932040309
364_1,4494460,4489068;4489074;4489120;4489182;4489214;4489232;4494390;4494436;4494460;4495652;4496600,4489050;4489058;4489068;4489070;4489074;4489098;4489116;4489118;4489120;4489122;4489124;4489126;4489182;4489184;4489186;4489212;4489214;4489232;4494384;4494386;4494388;4494390;4494392;4494406;4494412;4494434;4494436;4494460;4495652;4496478;4496594;4496600
365_1,4494628,4489066;4489100;4489110;4489216;4489218;4489234;4494394;4494402;4494424;4494432;4494438;4494472;4494484;4494488;4494492;4494606;4494628;4495658;4495664;4495666;4495890;4495896;4495898;4495912;4495914;4496580,4489066;4489100;4489102;4489110;4489112;4489216;4489218;4489234;4489236;4494394;4494398;4494402;4494420;4494422;4494424;4494430;4494432;4494438;4494444;4494452;4494468;4494470;4494472;4494484;4494488;4494492;4494494;4494504;4494514;4494534;4494536;4494538;4494562;4494586;4494606;4494610;4494624;4494628;4495658;4495660;4495662;4495664;4495666;4495886;4495888;4495890;4495894;4495896;4495898;4495902;4495906;4495912;4495914;4495934;4495936;4495940;4496482;4496488;4496490;4496580;4496592
366_1,4494690,4494690,4494690
