PRMS_segid,comid_down,comid_seg,comid_cat
238_1,4154310,4153176;4153178;4153198;4153202;4153206;4153248;4153254;4153286;4153292;4153314;4153326;4153338;4153360;4153362;4153366;4153368;4153410;4153678;4153682;4153684;4153688;4153700;4153702;4153806;4154310;4154560,4153174;4153176;4153178;4153182;4153194;4153196;4153198;4153202;4153204;4153206;4153210;4153222;4153240;4153242;4153246;4153248;4153250;4153254;4153266;4153268;4153272;4153274;4153282;4153284;4153286;4153290;4153292;4153296;4153312;4153314;4153320;4153322;4153326;4153328;4153332;4153336;4153338;4153348;4153360;4153362;4153364;4153366;4153368;4153370;4153372;4153380;4153408;4153410;4153536;4153538;4153664;4153666;4153670;4153672;4153676;4153678;4153680;4153682;4153684;4153688;4153700;4153702;4153704;4153706;4153708;4153710;4153712;4153734;4153736;4153738;4153802;4153804;4153806;4153808;4153812;4153814;4153816;4153818;4154310;4154560
239_1,4154334,4154316;4154322;4154334;4154458,4153374;4153378;4153386;4153394;4153412;4153728;4153730;4153732;4153830;4154302;4154304;4154308;4154314;4154316;4154318;4154322;4154334;4154344;4154458;4154502;4154504;4154508
24_1,1750601,1750503;1750509;1750513;1750515;1750519;1750601;1750607;1750641;1750693,1750481;1750497;1750499;1750503;1750507;1750509;1750513;1750515;1750519;1750521;1750525;1750527;1750531;1750535;1750601;1750603;1750607;1750611;1750637;1750639;1750641;1750645;1750647;1750649;1750659;1750661;1750693;1750697;1750701;1750707;1750713;1750717
240_1,4154366,4153398;4153402;4153404;4154312;4154338;4154366;4154370;4154376;4154384;4154386;4154388;4154392;4154394;4154526;4154528;4154530,4153330;4153356;4153396;4153398;4153400;4153402;4153404;4154312;4154338;4154340;4154366;4154370;4154372;4154376;4154384;4154386;4154388;4154392;4154394;4154396;4154398;4154400;4154402;4154404;4154406;4154408;4154410;4154412;4154414;4154416;4154418;4154422;4154424;4154426;4154526;4154528;4154530;4154532;4154534;4154548;4154550;4154552
241_1,4154460,4154352;4154460,4153304;4153344;4153346;4153352;4153354;4153358;4153384;4153406;4154306;4154320;4154326;4154328;4154330;4154336;4154348;4154352;4154354;4154356;4154358;4154360;4154362;4154368;4154460;4154518;4154524;4154542;4154544;4154546;24870645;932040180;932040181
242_1,4154488,4154324;4154456;4154488;4154490;4154506;4158248,4154324;4154342;4154456;4154488;4154490;4154506;4154540;4154562;4158248
243_1,4154492,4153722;4154492,4153280;4153324;4153334;4153388;4153686;4153690;4153714;4153718;4153722;4154492
244_1,4154496,4153392;4153414;4153540;4153724;4153726;4154300;4154496,4153288;4153294;4153306;4153308;4153316;4153340;4153342;4153390;4153392;4153414;4153540;4153674;4153724;4153792;4153798;4153810;4154300;4154496;932040250
245_1,4154498,4154332;4154498,4154332;4154498
246_1,4154500,4154500;4154558,4154350;4154364;4154374;4154378;4154380;4154382;4154390;4154420;4154428;4154430;4154462;4154464;4154470;4154500;4154520;4154522;4154536;4154538;4154554;4154558;4158230;4158232;4158260
247_1,4158246,4154494;4158244;4158246,4153072;4153104;4153106;4153128;4153132;4153148;4153158;4153160;4153186;4153224;4153228;4153276;4153278;4153298;4153376;4153382;4153416;4153650;4153662;4153668;4153720;4153770;4153776;4153788;4153832;4154486;4154494;4154556;4158244;4158246;4158266;932040143;932040144;932040145;932040146;932040147
248_1,4158256,4151522;4158256,4150602;4150614;4150620;4150626;4150628;4150632;4150644;4150664;4150666;4150680;4150684;4150686;4150688;4150694;4150706;4150708;4150710;4150714;4150732;4150744;4151518;4151520;4151522;4151544;4151890;4158256
249_1,4185679,4185515;4185521;4185529;4185553;4185559;4185567;4185575;4185597;4185617;4185647;4185679;4186259;4186263;4186265;4186267;4186273;4186281;4186283;4186285;4186289;4186293;4186295,4185223;4185257;4185261;4185263;4185277;4185279;4185299;4185307;4185311;4185313;4185315;4185317;4185329;4185347;4185349;4185351;4185353;4185355;4185357;4185359;4185363;4185371;4185377;4185385;4185387;4185389;4185415;4185417;4185419;4185423;4185425;4185433;4185435;4185437;4185441;4185449;4185451;4185465;4185487;4185489;4185491;4185493;4185507;4185515;4185521;4185523;4185529;4185537;4185543;4185547;4185553;4185559;4185565;4185567;4185575;4185589;4185597;4185601;4185605;4185615;4185617;4185619;4185621;4185635;4185647;4185653;4185679;4186089;4186091;4186093;4186095;4186097;4186121;4186139;4186151;4186165;4186225;4186227;4186235;4186239;4186245;4186259;4186261;4186263;4186265;4186267;4186273;4186277;4186279;4186281;4186283;4186285;4186289;4186293;4186303;4186351;4186477;4186485;4186487;4186493;4186497;4186501
25_1,1752109,1749283;1749289;1749319;1752001;1752109,1749283;1749285;1749289;1749319;1749387;1752001;1752109
250_1,4185779,4185779;4185793,4185779;4185793;4185803;4185815
251_1,4185789,4185691;4185747;4185759;4185781;4185789;4186331;4186345;4186355;4186357;4186363;4186371;4186375;4186387,4185517;4185527;4185563;4185581;4185583;4185585;4185587;4185603;4185607;4185611;4185613;4185623;4185625;4185639;4185641;4185643;4185649;4185655;4185659;4185661;4185663;4185665;4185667;4185671;4185681;4185683;4185685;4185689;4185691;4185693;4185697;4185703;4185709;4185717;4185719;4185731;4185741;4185743;4185745;4185747;4185749;4185751;4185759;4185767;4185775;4185777;4185781;4185785;4185787;4185789;4185791;4185795;4185797;4185799;4186173;4186179;4186183;4186251;4186253;4186255;4186257;4186275;4186287;4186291;4186297;4186305;4186307;4186309;4186311;4186313;4186315;4186317;4186319;4186321;4186323;4186325;4186329;4186331;4186333;4186345;4186347;4186355;4186357;4186359;4186361;4186363;4186371;4186375;4186379;4186387;4186499;4186503;4186505;4186507;4186509;4186511;4186517;4186561;932040249;932040251;932040253
252_1,4185805,4185805;4185821;4185823;4185841;4185857;4185859;4185871;4186197,4185805;4185813;4185817;4185819;4185821;4185823;4185829;4185831;4185841;4185845;4185857;4185859;4185863;4185865;4185867;4185869;4185871;4185875;4185879;4185887;4186197;4186435;4186525;4186529;4186531
253_1,4185837,4185835;4185837;4185917;4186193;4186199;4186201;4186427;4186515,4185825;4185835;4185837;4185843;4185907;4185917;4185919;4185923;4186187;4186191;4186193;4186199;4186201;4186427;4186515;4186527
254_1,4186169,4185305;4185397;4185467;4185501;4185519;4185531;4185533;4185535;4185539;4185569;4185631;4186105;4186111;4186127;4186147;4186169;4186229;4186237;4186249,4185243;4185255;4185259;4185271;4185305;4185325;4185341;4185375;4185395;4185397;4185407;4185439;4185447;4185463;4185467;4185481;4185497;4185501;4185509;4185519;4185531;4185533;4185535;4185539;4185541;4185569;4185571;4185595;4185631;4185637;4186105;4186107;4186111;4186117;4186119;4186127;4186133;4186141;4186145;4186147;4186149;4186159;4186163;4186169;4186229;4186231;4186237;4186249
255_1,4186205,4185941;4186205,4185941;4186205
256_1,4186247,4185247;4185249;4185251;4185265;4185267;4185281;4185295;4185373;4185413;4186113;4186123;4186135;4186215;4186223;4186233;4186243;4186247;932040150;932040151;932040254;932040257,4185205;4185207;4185209;4185211;4185215;4185219;4185221;4185225;4185227;4185229;4185231;4185233;4185239;4185245;4185247;4185249;4185251;4185253;4185265;4185267;4185269;4185281;4185287;4185291;4185295;4185297;4185301;4185345;4185373;4185413;4186099;4186101;4186103;4186109;4186113;4186115;4186123;4186131;4186135;4186137;4186215;4186219;4186221;4186223;4186233;4186241;4186243;4186247;4186475;4186479;4186565;4191105;24945291;24945295;932040095;932040150;932040151;932040254;932040257;932040258;932040271;932040274
257_1,4186351,4186351,4186351
258_1,4186353,4185711;4185713;4185737;4185761;4186353,4185657;4185701;4185711;4185713;4185725;4185727;4185735;4185737;4185739;4185761;4185763;4185765;4186175;4186335;4186349;4186353;4186513;4186519
